id,delta_avg,std_dev,x_coord,y_coord
881f8d44b5fffff,3,3,48.14361413106499,11.587631649981365
881f8d7a4bfffff,3,3,48.13600382891192,11.590698174917748
881f8d44b7fffff,3,3,48.14191980771269,11.599644866197417
881f8d44b1fffff,2,3,48.149529901241436,11.596578885457493
881f8d44a3fffff,16,3,48.145307077855826,11.575618525805401
881f8d7a49fffff,29,3,48.13769746656352,11.578686174256928
881f8d7a41fffff,-2,3,48.130086955950745,11.58175324296697
881f8d44bdfffff,-2,3,48.15122353381248,11.584564545297987
881f8d7a5dfffff,-12,3,48.13430881486912,11.602710267331823
881f8d7a59fffff,-5,3,48.14022410773506,11.61165817339838
881f8d44abfffff,-7,3,48.1529157896519,11.572550297465597
881f8d7a43fffff,2,3,48.128392627529124,11.593764120253946
881f8d44a1fffff,-6,3,48.14699864814944,11.563605494724701
881f8d7a4dfffff,9,3,48.13177990821539,11.56974245820106
881f8d44b3fffff,-5,3,48.14783489187475,11.608593316888639
881f8d44bbfffff,2,3,48.15544477661462,11.605527880768125
881f8d4487fffff,11,3,48.15883203697873,11.581496860720776
881f8d44a7fffff,2,3,48.13938972788797,11.566674266404188
881f8d44a9fffff,-7,3,48.15460666882411,11.5605361430158
881f8d7a47fffff,-2,3,48.12247554619339,11.584819732082268
881f8d7a51fffff,2,3,48.13261242437135,11.61472245044419
881f8d44b9fffff,-4,3,48.157139095279604,11.593512324965182
881f8d716dfffff,1,3,48.15374908091991,11.617543527073796
881f8d44adfffff,5,3,48.1486888420104,11.551592557794338
881f8d4497fffff,1,3,48.16135875670637,11.614478635995814
881f8d7a45fffff,7,3,48.124169189307516,11.572810070262053
881f8d4495fffff,3,3,48.163053761779,11.602461864889957
881f8d4483fffff,-3,3,48.164747389651595,11.59044518457362
881f8d7a5bfffff,-5,3,48.13852703106853,11.623671570529018
881f8d7a55fffff,2,3,48.126696922886616,11.605775089007455
881f8d4485fffff,-9,3,48.16052360177614,11.569481489090666
881f8d44a5fffff,24,3,48.14108061294973,11.554662452414323
881f8d7165fffff,2,3,48.14613850564874,11.620607838535928
881f8d459bfffff,5,3,48.13347148438736,11.557731767010726
881f8d4593fffff,-4,3,48.12586145649906,11.560800501730284
881f8d7a53fffff,2,3,48.13091465735525,11.626734723199943
881f8d44e7fffff,-9,3,48.15629617139376,11.548522083003938
881f8d7a6bfffff,-3,3,48.11655757134033,11.575877102733896
881f8d4491fffff,1,3,48.1689675328325,11.61141316515499
881f8d7a0bfffff,-5,3,48.11908413194125,11.608839331371117
881f8d7a09fffff,-11,3,48.12078052709256,11.596829486136716
881f8d4481fffff,-3,3,48.16643964038822,11.578428596102853
881f8d448bfffff,-3,3,48.17235478418202,11.587377464135853
881f8d44e3fffff,-8,3,48.162213789736434,11.557466211130619
881f8d7a57fffff,2,3,48.124999841959635,11.617786148172861
881f8d7161fffff,0,3,48.15205200813197,11.62955926282633
881f8d7a69fffff,5,3,48.11825052946072,11.563868656719706
881f8d45dbfffff,-4,3,48.15037765950356,11.539579716069387
881f8d449dfffff,-1,3,48.17066184719236,11.59939526910723
881f8d7167fffff,1,2,48.14444074249997,11.63262244934373
881f8d45d3fffff,-8,2,48.14277012181348,11.542650733342144
881f8d712dfffff,-2,2,48.136828577649894,11.635685056534047
881f8d4591fffff,1,2,48.12755234783244,11.548791027541172
881f8d7a0dfffff,-6,2,48.11486323746753,11.587885641749558
881f8d4493fffff,1,2,48.16727184103862,11.623431151222713
881f8d4599fffff,-3,2,48.135161684531205,11.545721170450497
881f8d4597fffff,5,2,48.119942111893,11.551860304760892
881f8d7a01fffff,2,2,48.113167527778394,11.599894272712767
881f8d44ebfffff,2,2,48.16982001071107,11.554395698922317
